flight_date,unique_carrier,flight_num,arr_delay
11/01/2015 0:00,AA,1320,252
12/01/2015 0:00,AA,1320,-17
06/01/2015 0:00,AA,1322,-8
07/01/2015 0:00,AA,1322,-13
08/01/2015 0:00,AA,1322,0
09/01/2015 0:00,AA,1322,-32
10/01/2015 0:00,AA,1322,-22
11/01/2015 0:00,AA,1322,-18
12/01/2015 0:00,AA,1322,-16
13/01/2015 0:00,AA,1322,164
14/01/2015 0:00,AA,1322,-11
02/01/2015 0:00,AA,1323,8
03/01/2015 0:00,AA,1323,2
04/01/2015 0:00,AA,1323,-15
05/01/2015 0:00,AA,1323,-10
06/01/2015 0:00,AA,1323,-3
07/01/2015 0:00,AA,1323,6
08/01/2015 0:00,AA,1323,-5
09/01/2015 0:00,AA,1323,1
10/01/2015 0:00,AA,1323,
11/01/2015 0:00,AA,1323,3
12/01/2015 0:00,AA,1323,-14
13/01/2015 0:00,AA,1323,43
14/01/2015 0:00,AA,1323,191
02/01/2015 0:00,AA,1324,-25
03/01/2015 0:00,AA,1324,65
04/01/2015 0:00,AA,1324,31
05/01/2015 0:00,AA,1324,
06/01/2015 0:00,AA,1324,-7
07/01/2015 0:00,AA,1324,5
08/01/2015 0:00,AA,1324,35
09/01/2015 0:00,AA,1324,17
10/01/2015 0:00,AA,1324,3
11/01/2015 0:00,AA,1324,-18
12/01/2015 0:00,AA,1324,-17
13/01/2015 0:00,AA,1324,69
14/01/2015 0:00,AA,1324,-12
02/01/2015 0:00,AA,1326,22
04/01/2015 0:00,AA,1326,1
05/01/2015 0:00,AA,1326,10
06/01/2015 0:00,AA,1326,4
07/01/2015 0:00,AA,1326,30
08/01/2015 0:00,AA,1326,-9
09/01/2015 0:00,AA,1326,7
11/01/2015 0:00,AA,1326,-19
12/01/2015 0:00,AA,1326,-21
13/01/2015 0:00,AA,1326,-4
14/01/2015 0:00,AA,1326,-20
02/01/2015 0:00,AA,1328,67
03/01/2015 0:00,AA,1328,15
04/01/2015 0:00,AA,1328,36
05/01/2015 0:00,AA,1328,170
06/01/2015 0:00,AA,1328,-14
07/01/2015 0:00,AA,1328,-3
08/01/2015 0:00,AA,1328,3
09/01/2015 0:00,AA,1328,-12
10/01/2015 0:00,AA,1328,-2
11/01/2015 0:00,AA,1328,31
12/01/2015 0:00,AA,1328,6
13/01/2015 0:00,AA,1328,-7
14/01/2015 0:00,AA,1328,78
02/01/2015 0:00,AA,1328,73
03/01/2015 0:00,AA,1328,15
04/01/2015 0:00,AA,1328,30
05/01/2015 0:00,AA,1328,149
06/01/2015 0:00,AA,1328,-13
07/01/2015 0:00,AA,1328,-2
08/01/2015 0:00,AA,1328,-14
09/01/2015 0:00,AA,1328,-7
10/01/2015 0:00,AA,1328,-15
11/01/2015 0:00,AA,1328,22
12/01/2015 0:00,AA,1328,1
13/01/2015 0:00,AA,1328,6
14/01/2015 0:00,AA,1328,67
02/01/2015 0:00,AA,1330,84
03/01/2015 0:00,AA,1330,166
04/01/2015 0:00,AA,1330,41
05/01/2015 0:00,AA,1330,89
06/01/2015 0:00,AA,1330,0
07/01/2015 0:00,AA,1330,9
08/01/2015 0:00,AA,1330,66
09/01/2015 0:00,AA,1330,19
10/01/2015 0:00,AA,1330,7
11/01/2015 0:00,AA,1330,11
12/01/2015 0:00,AA,1330,-10
13/01/2015 0:00,AA,1330,18
14/01/2015 0:00,AA,1330,-12
02/01/2015 0:00,AA,1331,2
03/01/2015 0:00,AA,1331,
04/01/2015 0:00,AA,1331,157
05/01/2015 0:00,AA,1331,34
06/01/2015 0:00,AA,1331,7
07/01/2015 0:00,AA,1331,-10
08/01/2015 0:00,AA,1331,150
09/01/2015 0:00,AA,1331,1
10/01/2015 0:00,AA,1331,10
11/01/2015 0:00,AA,1331,40
12/01/2015 0:00,AA,1331,22
13/01/2015 0:00,AA,1331,-14
14/01/2015 0:00,AA,1331,87
02/01/2015 0:00,AA,1332,42
03/01/2015 0:00,AA,1332,0
04/01/2015 0:00,AA,1332,-17
05/01/2015 0:00,AA,1332,38
06/01/2015 0:00,AA,1332,-2
07/01/2015 0:00,AA,1332,78
08/01/2015 0:00,AA,1332,-7
09/01/2015 0:00,AA,1332,2
10/01/2015 0:00,AA,1332,2
11/01/2015 0:00,AA,1332,17
12/01/2015 0:00,AA,1332,48
13/01/2015 0:00,AA,1332,-14
14/01/2015 0:00,AA,1332,-6
02/01/2015 0:00,AA,1333,19
03/01/2015 0:00,AA,1333,52
04/01/2015 0:00,AA,1333,40
05/01/2015 0:00,AA,1333,92
06/01/2015 0:00,AA,1333,-7
07/01/2015 0:00,AA,1333,-4
08/01/2015 0:00,AA,1333,-6
09/01/2015 0:00,AA,1333,44
10/01/2015 0:00,AA,1333,63
11/01/2015 0:00,AA,1333,-1
12/01/2015 0:00,AA,1333,12
13/01/2015 0:00,AA,1333,162
14/01/2015 0:00,AA,1333,-16
02/01/2015 0:00,AA,1333,9
03/01/2015 0:00,AA,1333,93
04/01/2015 0:00,AA,1333,35
05/01/2015 0:00,AA,1333,93
06/01/2015 0:00,AA,1333,-7
07/01/2015 0:00,AA,1333,-14
08/01/2015 0:00,AA,1333,-2
09/01/2015 0:00,AA,1333,30
10/01/2015 0:00,AA,1333,50
11/01/2015 0:00,AA,1333,4
12/01/2015 0:00,AA,1333,7
13/01/2015 0:00,AA,1333,139
14/01/2015 0:00,AA,1333,-4
02/01/2015 0:00,AA,1334,-16
03/01/2015 0:00,AA,1334,-12
04/01/2015 0:00,AA,1334,-5
05/01/2015 0:00,AA,1334,22
06/01/2015 0:00,AA,1334,-11
07/01/2015 0:00,AA,1334,4
08/01/2015 0:00,AA,1334,-9
09/01/2015 0:00,AA,1334,-1
10/01/2015 0:00,AA,1334,-3
12/01/2015 0:00,AA,1334,-6
13/01/2015 0:00,AA,1334,-12
14/01/2015 0:00,AA,1334,24
02/01/2015 0:00,AA,1335,
03/01/2015 0:00,AA,1335,29
04/01/2015 0:00,AA,1335,39
05/01/2015 0:00,AA,1335,9
06/01/2015 0:00,AA,1335,-20
07/01/2015 0:00,AA,1335,-24
08/01/2015 0:00,AA,1335,-20
09/01/2015 0:00,AA,1335,22
10/01/2015 0:00,AA,1335,80
11/01/2015 0:00,AA,1335,15
12/01/2015 0:00,AA,1335,
13/01/2015 0:00,AA,1335,19
14/01/2015 0:00,AA,1335,-16
02/01/2015 0:00,AA,1336,16
03/01/2015 0:00,AA,1336,-7
04/01/2015 0:00,AA,1336,5
05/01/2015 0:00,AA,1336,-13
06/01/2015 0:00,AA,1336,8
07/01/2015 0:00,AA,1336,-5
08/01/2015 0:00,AA,1336,-6
09/01/2015 0:00,AA,1336,-10
10/01/2015 0:00,AA,1336,5
11/01/2015 0:00,AA,1336,17
12/01/2015 0:00,AA,1336,11
13/01/2015 0:00,AA,1336,2
14/01/2015 0:00,AA,1336,-16
02/01/2015 0:00,AA,1337,14
03/01/2015 0:00,AA,1337,25
04/01/2015 0:00,AA,1337,12
05/01/2015 0:00,AA,1337,16
06/01/2015 0:00,AA,1337,14
07/01/2015 0:00,AA,1337,25
08/01/2015 0:00,AA,1337,-24
09/01/2015 0:00,AA,1337,-1
10/01/2015 0:00,AA,1337,-26
11/01/2015 0:00,AA,1337,77
12/01/2015 0:00,AA,1337,-10
13/01/2015 0:00,AA,1337,38
14/01/2015 0:00,AA,1337,-2
02/01/2015 0:00,AA,1337,14
03/01/2015 0:00,AA,1337,10
04/01/2015 0:00,AA,1337,24
05/01/2015 0:00,AA,1337,15
06/01/2015 0:00,AA,1337,19
07/01/2015 0:00,AA,1337,16
